"Sposob prezentacji";"Rok";"Kwartal";"Wartosc"
"Analogiczny okres roku poprzedniego = 100";"2023";"I kwartał";117.0
"Analogiczny okres roku poprzedniego = 100";"2023";"II kwartał";
"Analogiczny okres roku poprzedniego = 100";"2023";"III kwartał";
"Analogiczny okres roku poprzedniego = 100";"2023";"IV kwartał";
"Analogiczny okres roku poprzedniego = 100";"2022";"I kwartał";109.7
"Analogiczny okres roku poprzedniego = 100";"2022";"II kwartał";113.9
"Analogiczny okres roku poprzedniego = 100";"2022";"III kwartał";116.3
"Analogiczny okres roku poprzedniego = 100";"2022";"IV kwartał";117.3
"Analogiczny okres roku poprzedniego = 100";"2021";"I kwartał";102.7
"Analogiczny okres roku poprzedniego = 100";"2021";"II kwartał";104.5
"Analogiczny okres roku poprzedniego = 100";"2021";"III kwartał";105.4
"Analogiczny okres roku poprzedniego = 100";"2021";"IV kwartał";107.7
"Analogiczny okres roku poprzedniego = 100";"2020";"I kwartał";104.5
"Analogiczny okres roku poprzedniego = 100";"2020";"II kwartał";103.2
"Analogiczny okres roku poprzedniego = 100";"2020";"III kwartał";103.0
"Analogiczny okres roku poprzedniego = 100";"2020";"IV kwartał";102.8
"Analogiczny okres roku poprzedniego = 100";"2019";"I kwartał";101.2
"Analogiczny okres roku poprzedniego = 100";"2019";"II kwartał";102.4
"Analogiczny okres roku poprzedniego = 100";"2019";"III kwartał";102.8
"Analogiczny okres roku poprzedniego = 100";"2019";"IV kwartał";102.8
"Analogiczny okres roku poprzedniego = 100";"2018";"I kwartał";101.5
"Analogiczny okres roku poprzedniego = 100";"2018";"II kwartał";101.7
"Analogiczny okres roku poprzedniego = 100";"2018";"III kwartał";102.0
"Analogiczny okres roku poprzedniego = 100";"2018";"IV kwartał";101.4
"Analogiczny okres roku poprzedniego = 100";"2017";"I kwartał";102.0
"Analogiczny okres roku poprzedniego = 100";"2017";"II kwartał";101.8
"Analogiczny okres roku poprzedniego = 100";"2017";"III kwartał";101.9
"Analogiczny okres roku poprzedniego = 100";"2017";"IV kwartał";102.2
"Analogiczny okres roku poprzedniego = 100";"2016";"I kwartał";99.1
"Analogiczny okres roku poprzedniego = 100";"2016";"II kwartał";99.1
"Analogiczny okres roku poprzedniego = 100";"2016";"III kwartał";99.2
"Analogiczny okres roku poprzedniego = 100";"2016";"IV kwartał";100.2
"Analogiczny okres roku poprzedniego = 100";"2015";"I kwartał";98.5
"Analogiczny okres roku poprzedniego = 100";"2015";"II kwartał";99.1
"Analogiczny okres roku poprzedniego = 100";"2015";"III kwartał";99.3
"Analogiczny okres roku poprzedniego = 100";"2015";"IV kwartał";99.4
"Analogiczny okres roku poprzedniego = 100";"2014";"I kwartał";100.6
"Analogiczny okres roku poprzedniego = 100";"2014";"II kwartał";100.3
"Analogiczny okres roku poprzedniego = 100";"2014";"III kwartał";99.7
"Analogiczny okres roku poprzedniego = 100";"2014";"IV kwartał";99.3
"Analogiczny okres roku poprzedniego = 100";"2013";"I kwartał";101.3
"Analogiczny okres roku poprzedniego = 100";"2013";"II kwartał";100.5
"Analogiczny okres roku poprzedniego = 100";"2013";"III kwartał";101.1
"Analogiczny okres roku poprzedniego = 100";"2013";"IV kwartał";100.7
"Analogiczny okres roku poprzedniego = 100";"2012";"I kwartał";104.1
"Analogiczny okres roku poprzedniego = 100";"2012";"II kwartał";104.0
"Analogiczny okres roku poprzedniego = 100";"2012";"III kwartał";103.9
"Analogiczny okres roku poprzedniego = 100";"2012";"IV kwartał";102.9
"Analogiczny okres roku poprzedniego = 100";"2011";"I kwartał";103.8
"Analogiczny okres roku poprzedniego = 100";"2011";"II kwartał";104.6
"Analogiczny okres roku poprzedniego = 100";"2011";"III kwartał";104.1
"Analogiczny okres roku poprzedniego = 100";"2011";"IV kwartał";104.6
"Analogiczny okres roku poprzedniego = 100";"2010";"I kwartał";103.0
"Analogiczny okres roku poprzedniego = 100";"2010";"II kwartał";102.3
"Analogiczny okres roku poprzedniego = 100";"2010";"III kwartał";102.2
"Analogiczny okres roku poprzedniego = 100";"2010";"IV kwartał";102.9
"Analogiczny okres roku poprzedniego = 100";"2009";"I kwartał";103.3
"Analogiczny okres roku poprzedniego = 100";"2009";"II kwartał";103.7
"Analogiczny okres roku poprzedniego = 100";"2009";"III kwartał";103.5
"Analogiczny okres roku poprzedniego = 100";"2009";"IV kwartał";103.3
"Analogiczny okres roku poprzedniego = 100";"2008";"I kwartał";104.1
"Analogiczny okres roku poprzedniego = 100";"2008";"II kwartał";104.3
"Analogiczny okres roku poprzedniego = 100";"2008";"III kwartał";104.7
"Analogiczny okres roku poprzedniego = 100";"2008";"IV kwartał";103.8
"Analogiczny okres roku poprzedniego = 100";"2007";"I kwartał";102.0
"Analogiczny okres roku poprzedniego = 100";"2007";"II kwartał";102.4
"Analogiczny okres roku poprzedniego = 100";"2007";"III kwartał";102.0
"Analogiczny okres roku poprzedniego = 100";"2007";"IV kwartał";103.5
"Analogiczny okres roku poprzedniego = 100";"2006";"I kwartał";100.6
"Analogiczny okres roku poprzedniego = 100";"2006";"II kwartał";100.8
"Analogiczny okres roku poprzedniego = 100";"2006";"III kwartał";101.4
"Analogiczny okres roku poprzedniego = 100";"2006";"IV kwartał";101.3
"Analogiczny okres roku poprzedniego = 100";"2005";"I kwartał";103.6
"Analogiczny okres roku poprzedniego = 100";"2005";"II kwartał";102.3
"Analogiczny okres roku poprzedniego = 100";"2005";"III kwartał";101.6
"Analogiczny okres roku poprzedniego = 100";"2005";"IV kwartał";101.1
