"Wojewodztwo";"Okres";"Rok";"Wynagrodzenie brutto";"Jednostka miary"
"DOLNOŚLĄSKIE";"I kwartał";"2005";2507.77;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2006";2604.41;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2007";2847.92;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2008";3120.42;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2009";3332.46;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2010";3481.97;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2011";3633.96;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2012";3820.01;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2013";3892.83;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2014";4091.12;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2015";4290.73;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2016";4443.83;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2017";4648.69;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2018";4986.01;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2019";5272.77;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2020";5693.32;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2021";6070.15;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2022";6731.86;"zł"
"DOLNOŚLĄSKIE";"I kwartał";"2023";7636.33;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2005";2459.48;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2006";2598.65;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2007";2845.62;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2008";3210.30;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2009";3402.45;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2010";3485.89;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2011";3658.62;"zł"
